|File|Annotation|Comment|Text|Page
0|data/FDP-Bbg-2024 - Copy.docx|P3||Gleichzeitig werden wir uns für eine beschleunigte Schaffung neuer Kita-Plätze einsetzen|5
1|data/FDP-Bbg-2024 - Copy.docx|P2| |Egal ob in Krippe, Kindergarten oder Hort.|5
2|data/FDP-Bbg-2024 - Copy.docx|P4||Zur Unterstützung von Eltern in Schicht- und Nachtarbeit werden wir 24-Stunden-Kitas fördern|5
3|data/FDP-Bbg-2024 - Copy.docx|P7||Kinder, die zum Zeitpunkt der Einschulung noch nicht über ausreichende Deutschkenntnisse verfügen, werden wir gezielt fördern|5
4|data/FDP-Bbg-2024 - Copy.docx|P2||Darüber hinaus werden wir multiprofessionelle Teams aufbauen.|6
5|data/FDP-Bbg-2024 - Copy.docx|P4||Wir werden mehr bilinguale Kita-Plätze schaffen.|6
6|data/FDP-Bbg-2024 - Copy.docx|P3| alles sehr allgemein|Herausforderungen wie den Strukturwandel in der Lausitz oder die Gestaltung der Metropolregion nehmen wir gemeinsam mit den Brandenburgerinnen und Brandenburger an. Für uns stehen dabei vor allem die Chancen zur Gestaltung unserer vielseitigen Regionen im Vordergrund. Wir glauben, dass in dem Transformationsprozess der nächsten Jahre unzählige Chancen auf Brandenburg warten, die wir ergreifen wollen.|20
7|data/FDP-Bbg-2024 - Copy.docx|P3| „Transformation“ kommt nicht vor|Wir werden Brandenburg zu einer Freiheitszone für Unternehmen entwickeln. Wir setzen für beste wirtschaftliche Rahmenbedingungen ein, um die Gründung und Ansiedlung junger, forschungsintensiver Unternehmen zu erleichtern und Handwerk und Mittelstand den Rücken frei zu halten. Dazu gehört insbesondere eine möglichst niedrige Steuerbelastung, |20
8|data/FDP-Bbg-2024 - Copy.docx|P3||Oberste Priorität unserer Wirtschaftspolitik ist der konsequente Bürokratieabbau|22
9|data/FDP-Bbg-2024 - Copy.docx|P3||Wir werden es mit den Startup- und Gründungsstandorten Deutschlands aufnehmen! |23
10|data/FDP-Bbg-2024 - Copy.docx|P4||Aufgrund des Ausbaus erneuerbarer Energien steigt die Rivalität mit der Landwirtschaft um freie Flächen. Wir wollen ein faires Miteinander und eine Interessenausgleich schaffen, Landwirte dürfen nicht einseitig das Nachsehen haben. Gerade die Doppelnutzung von Photovoltaik und landwirtschaftlichen Betrieben kann das Miteinander der Flächennutzung vereinen.|27
11|data/FDP-Bbg-2024 - Copy.docx|P4||Wir setzen uns für eine vielfältige Landwirtschaft ein und wollen die regionale landwirtschaftliche Produktion erhalten und stärken. Ein besonderer Fokus wird der Bio-Diversität zukommen. Wir befürworten dasNebeneinander von konventioneller und ökologischer Landwirtschaft. Zielmarken und Quoten für den ökologischen Landbau lehnen wir ab.|27
12|data/FDP-Bbg-2024 - Copy.docx|P4||Wir setzen uns aufBundesebene für eine Reform der Pflanzenschutz-Anwendungsverordnung und desInsektenschutzprogramms ein, denn in ihrer bisherigen Form unterstützen sie die Landwirtschaft nicht, sie machen sie zunehmend unmöglich.|27
13|data/FDP-Bbg-2024 - Copy.docx|P4||Wir stellen uns der im Zuge der Gemeinsamen Agrarpolitik (GAP) festgelegten Flächenstilllegung entschieden entgegen. Weitere Eingriffe in die Eigentumsrechte vonLandwirtinnen und Landwirten werden wir auf allen politischen Ebenen zurückweisen.|FEHLER - kein Eintrag gefunden
14|data/FDP-Bbg-2024 - Copy.docx|P4| und auch |Um die Artenvielfalt zu erhalten, wollen wir eine kontinuierliche Anlage von Hecken an Straßenrändern durchsetzen, Straßenbankette an Landstraßen müssen erhalten bleiben und dürfen nicht abgemäht werden.|28
15|data/FDP-Bbg-2024 - Copy.docx|P4||Für jede neue Regulierung werden wir eine bisherige Anforderung streichen, um die Belastung nicht weiter ansteigen zu lassen.|28
16|data/FDP-Bbg-2024 - Copy.docx|P4||Wir werden sicherstellen, dass staatliche Vorgaben zur landwirtschaftlichenUmstrukturierung langfristig angelegt sind und 20 Jahre Bestand haben müssen. |28
17|data/FDP-Bbg-2024 - Copy.docx|P4||Wir werden in Kitas und Schulen bereits früh Wissen über Ernährung und Landwirtschaft vermitteln. |28
18|data/FDP-Bbg-2024 - Copy.docx|P4||Brandenburg ist ein Agrarland mit langer Tradition. Um das zu bleiben, werden wir moderneTechnologien unterstützen und fördern. Dazu gehören neben der vertikalen Landwirtschaftauch neue Züchtungstechniken sowie Bioreaktoren zur Herstellung von künstlicher Milch und künstlichem Fleisch.|FEHLER - kein Eintrag gefunden
19|data/FDP-Bbg-2024 - Copy.docx|P5| einziger koinkreter Hinweis auf Biodiversität|Anglerinnen und Angler leisten einen unverzichtbaren Beitrag zum Schutz der Gewässer. Ihre Arbeit ist entscheidend für die Erhaltung der Biodiversität|29
20|data/FDP-Bbg-2024 - Copy.docx|P2||Wir schreiben niemandem vor, wie sie oder er sich fortbewegen soll.|29
21|data/FDP-Bbg-2024 - Copy.docx|P2||Wir werden die Klimaneutralität aller Verkehrsmittel vorantreiben. Hierbei setzen wir auch Technologieoffenheit und Erfindertum statt auf Verbote|29
22|data/FDP-Bbg-2024 - Copy.docx|P2||Wir werden den Investitionsstau im brandenburgischen Straßen- und Schienennetz lösen und so die Weichen für eine klimaneutrale Mobilität der Zukunft stellen.|29
23|data/FDP-Bbg-2024 - Copy.docx|P2| Auto|Den Kulturkampf gegen das Auto lehnen wir ab.|30
24|data/FDP-Bbg-2024 - Copy.docx|P2| Auto|Wir stellen uns gegen unverhältnismäßige Verbote in der Mobilität. Wir setzen auf Innovationen, Vernunft und Freiheit. Die Einführung von Fahrverboten und pauschalen Tempolimits lehnen wir ab.|30
25|data/FDP-Bbg-2024 - Copy.docx|P2| Auto|Die Schlechterstellung des Autos durch das Mobilitätsgesetz Brandenburg werden wir rückgängig machen|30
26|data/FDP-Bbg-2024 - Copy.docx|P2| Auto|Den flächendeckenden Ausbau einer leistungsstarken Infrastruktur – wie etwa Ladesäulen für die Elektromobilität und Wasserstofftankstellen – werden wir vorantreiben.|30
27|data/FDP-Bbg-2024 - Copy.docx|P2| generall eher allg. Aussagen zu öpnv|Wir machen uns für einen zuverlässigen ÖPNV mit attraktiven Verbindungen stark.|31
28|data/FDP-Bbg-2024 - Copy.docx|P2||Für alle Schülerinnen und Schüler bis einschließlich der 13. Jahrgangsstufe soll das Land Brandenburg schrittweise die Schulwegkosten übernehmen.|31
29|data/FDP-Bbg-2024 - Copy.docx|P2||Eine weitere Vergünstigung des Deutschlandtickets lehnen wir ab.|31
30|data/FDP-Bbg-2024 - Copy.docx|P2| Rad|Wir werden den Ausbau von Fahrradwegen und neuen Fahrradschnellwegen in ganz Brandenburg voranbringen. Mit neuen Radschnellwegen werden wir insbesondere die Anbindung des Umlandes an die urbanen Zentren verbessern|32
31|data/FDP-Bbg-2024 - Copy.docx|P2| Rad|Popup-Radwege und andere disruptive Maßnahmen hingegen lehnen wir ab|32
